¿Cual es la ciudad mas poblada del mundo?;Tokio;Moscu;Mexico DF,,,,,,
¿Quien es considerado el Rey del Pop?;Michael Jackson;Justin Bieber;Justin Timberlake,,,,,,
¿Cual es el pais mas grande de America?;Canada ;Brasil;Estados Unidos,,,,,,
¿Cual es la consola mas vendida de toda la historia?;PlayStation 2;PlayStation;Nintendo DS,,,,,,
¿Cual es la unidad fundamental de la vida?;Celula;Tejido;Neuronas,,,,,,
¿Quien escribio la Odisea?;Homero;Borges;Coelho,,,,,,
¿Cual es el río más largo del mundo?;Amazonas;Volga;Missisipi,,,,,,
¿Donde se originaron los Juegos Olimpicos?;Grecia;Roma;Egipto,,,,,,
¿Como se le llama al resultado de una multiplicación?;Producto;Resultado;Residuo,,,,,,
¿Cuantas Copas del Mundo de la FIFA ha ganado Brasil?;5;4;6,,,,,,
¿Que país se caracteriza por tener la forma de una bota?;Italia;Holanda;Francia,,,,,,
¿En que año comenzó la Segunda Guerra Mundial?;1939;1935;1937,,,,,,
¿Cuantas patas tiene una araña?;8;6;7,,,,,,
¿Quien va a la carcel: el acusado, el condenado, el imputado?;el condenado;el acusado;el imputado,,,,
¿Cual fue el primer metal empleado por un ser humano?;cobre;plata;oro,,,,,,
¿Cual es el primer número primo?;2;3;1,,,,,,
¿Quien es el autor de Hamlet?;Shakespeare;Homero;Borges,,,,,,
¿Cuantos años tiene un lustro?;5;4;6,,,,,,
¿En cual pais se encuentra la Universidad de Cambridge?;Inglaterra;EE.UU;Alemania,,,,,,
¿Como se le llama al procedimiento de alzar una bandera?;Izar;Levantamiento de bandera;Saludo a la bandera,,,,,,
¿Cual es el unico animal que no puede saltar?;El elefante;El ornitorrinco;La hormiga,,,,,,
¿Cuál es el animal que emite el sonido más alto?;La ballena jorobada;El leon;El elefante,,,,,,
¿Qué atrae más al mosquito cuando está en búsqueda de alimento?;El color azul;Una gota de sangre al aire libre;El sonido de las palpitaciones,,,,,,
¿Qué animal puede ver la luz infrarroja y ultravioleta?;El pez dorado;El esquimal;El pez pulmonado,,,,,,
¿Cuántos dientes tiene un mosquito?;47;102;Ninguno,,,,,,
¿Cuándo saca la lengua un gorila?;Cuando tiene hambre;Cuando esta enojado;El gorila no saca la lengua,,,,,,
¿Cuál es el animal de boca más grande, según su cuerpo?;La rana argentica;El tiburon blanco;La boa constrictora,,,,,
¿Cuál de los siguientes animales puede vivir más de 200 años?;Las almejas gigantes;Las tortugas gigantes;Las cucarachas albinas,,,,,,
Comparativamente, ¿qué animal tiene mayor fuerza?;El escarabajo Atlas;El elefante africano;La serpiente Piton,,,,,
¿Cuál es el país con mas oficinas postales del mundo?;India;China;Rusia,,,,,,
¿Qué país de Europa es el más poblado?;Alemania;Francia;Reino Unido,,,,,,
¿Cuál es el país con mas ríos y lagos del mundo?;Canada;Peru;Escocia,,,,,,
¿La capital de qué país es la única fundada en el siglo XX?;Brasil;Andorra;Nicaragua,,,,,,
¿Qué país nunca invadió a otro en sus tantos años de historia?;India;China;Yugoslavia,,,,,,
¿Cuál es el país con mas museos per cápita del mundo?;Israel;Chile;Canada,,,,,,
¿Qué país tiene observatorio solar de 7 mil años de antigüedad?;Alemania;Italia;Grecia,,,,,,
¿Cuáles países son los mayores productores de plata del mundo?;Mexico y Peru;Nicaragua y Panama;Sudafrica y Tanzania,,,,,,
